hsa:10314            K25210 glutathione transferase [EC:2.5.1.18] | (RefSeq) LANCL1, GPR69A, p40; LanC like 1 
hsa:119391           K00799 glutathione S-transferase [EC:2.5.1.18] | (RefSeq) GSTO2, GSTO_2-2, bA127L20.1; glutathione S 
hsa:124975           K00681 gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13] | (RefSeq) GGT6;  
hsa:221357           K00799 glutathione S-transferase [EC:2.5.1.18] | (RefSeq) GSTA5; glutathione S-transferase alpha 5 
hsa:2539             K00036 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] | (RefSeq) G6PD, G6PD1; glucose-6 
hsa:257202           K00432 glutathione peroxidase [EC:1.11.1.9] | (RefSeq) GPX6, GPX5p, GPXP3, GPx-6, GSHPx-6, dJ1186N24 
hsa:2678             K18592 gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3 
hsa:2686             K00681 gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13] | (RefSeq) GGT7,  
hsa:2687             K18592 gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3 
hsa:26873            K01469 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9] | (RefSeq) OPLAH, 5-Opase, OPLA, OPLAHD; 5-oxop 
hsa:2729             K11204 glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2] | (RefSeq) GCLC, GCL, GCS, GLCL, GL 
hsa:2730             K11205 glutamate--cysteine ligase regulatory subunit | (RefSeq) GCLM, GLCLR; glutamate-cysteine liga 
hsa:27306            K04097 prostaglandin-H2 D-isomerase / glutathione transferase [EC:5.3.99.2 2.5.1.18] | (RefSeq) HPGD 
hsa:2876             K00432 glutathione peroxidase [EC:1.11.1.9] | (RefSeq) GPX1, GPXD, GSHPX1; glutathione peroxidase 1 
hsa:2877             K00432 glutathione peroxidase [EC:1.11.1.9] | (RefSeq) GPX2, GI-GPx, GPRP, GPRP-2, GPx-2, GPx-GI, GS 
hsa:2878             K00432 glutathione peroxidase [EC:1.11.1.9] | (RefSeq) GPX3, GPx-P, GSHPx-3, GSHPx-P; glutathione pe 
hsa:2879             K05361 phospholipid-hydroperoxide glutathione peroxidase [EC:1.11.1.12] | (RefSeq) GPX4, GPx-4, GSHP 
hsa:2880             K00432 glutathione peroxidase [EC:1.11.1.9] | (RefSeq) GPX5, EGLP, GPx-5, GSHPx-5, HEL-S-75p; glutat 
hsa:2882             K00432 glutathione peroxidase [EC:1.11.1.9] | (RefSeq) GPX7, CL683, GPX6, GPx-7, GSHPx-7, NPGPx; glu 
hsa:290              K11140 aminopeptidase N [EC:3.4.11.2] | (RefSeq) ANPEP, APN, CD13, GP150, LAP1, P150, PEPN; alanyl a 
